state,district,category,type,date,crimes
Malaysia,All,Assault,all,2016-01-01,22327
Malaysia,All,Assault,all,2017-01-01,21366
Malaysia,All,Assault,all,2018-01-01,16902
Malaysia,All,Assault,all,2019-01-01,16489
Malaysia,All,Assault,all,2020-01-01,13279
Malaysia,All,Assault,all,2021-01-01,11495
Malaysia,All,Assault,all,2022-01-01,10348
Malaysia,All,Assault,all,2023-01-01,10453
Malaysia,All,Assault,Causing Injury,2016-01-01,5531
Malaysia,All,Assault,Causing Injury,2017-01-01,5024
Malaysia,All,Assault,Causing Injury,2018-01-01,4660
Malaysia,All,Assault,Causing Injury,2019-01-01,4712
Malaysia,All,Assault,Causing Injury,2020-01-01,4118
Malaysia,All,Assault,Causing Injury,2021-01-01,4063
Malaysia,All,Assault,Causing Injury,2022-01-01,3807
Malaysia,All,Assault,Causing Injury,2023-01-01,3693
Malaysia,All,Assault,Murder,2016-01-01,456
Malaysia,All,Assault,Murder,2017-01-01,379
Malaysia,All,Assault,Murder,2018-01-01,323
Malaysia,All,Assault,Murder,2019-01-01,310
Malaysia,All,Assault,Murder,2020-01-01,253
Malaysia,All,Assault,Murder,2021-01-01,243
Malaysia,All,Assault,Murder,2022-01-01,240
Malaysia,All,Assault,Murder,2023-01-01,258
Malaysia,All,Assault,Rape,2016-01-01,1886
Malaysia,All,Assault,Rape,2017-01-01,1835
Malaysia,All,Assault,Rape,2018-01-01,1648
Malaysia,All,Assault,Rape,2019-01-01,1738
Malaysia,All,Assault,Rape,2020-01-01,1582
Malaysia,All,Assault,Rape,2021-01-01,1553
Malaysia,All,Assault,Rape,2022-01-01,1712
Malaysia,All,Assault,Rape,2023-01-01,1914
Malaysia,All,Assault,Robbery Gang Armed,2016-01-01,65
Malaysia,All,Assault,Robbery Gang Armed,2017-01-01,31
Malaysia,All,Assault,Robbery Gang Armed,2018-01-01,31
Malaysia,All,Assault,Robbery Gang Armed,2019-01-01,21
Malaysia,All,Assault,Robbery Gang Armed,2020-01-01,6
Malaysia,All,Assault,Robbery Gang Armed,2021-01-01,5
Malaysia,All,Assault,Robbery Gang Armed,2022-01-01,16
Malaysia,All,Assault,Robbery Gang Armed,2023-01-01,30
Malaysia,All,Assault,Robbery Gang Unarmed,2016-01-01,10907
Malaysia,All,Assault,Robbery Gang Unarmed,2017-01-01,9779
Malaysia,All,Assault,Robbery Gang Unarmed,2018-01-01,6543
Malaysia,All,Assault,Robbery Gang Unarmed,2019-01-01,6058
Malaysia,All,Assault,Robbery Gang Unarmed,2020-01-01,2992
Malaysia,All,Assault,Robbery Gang Unarmed,2021-01-01,3071
Malaysia,All,Assault,Robbery Gang Unarmed,2022-01-01,2432
Malaysia,All,Assault,Robbery Gang Unarmed,2023-01-01,2578
Malaysia,All,Assault,Robbery Solo Armed,2016-01-01,19
Malaysia,All,Assault,Robbery Solo Armed,2017-01-01,3
Malaysia,All,Assault,Robbery Solo Armed,2018-01-01,9
Malaysia,All,Assault,Robbery Solo Armed,2019-01-01,9
Malaysia,All,Assault,Robbery Solo Armed,2020-01-01,5
Malaysia,All,Assault,Robbery Solo Armed,2021-01-01,2
Malaysia,All,Assault,Robbery Solo Armed,2022-01-01,7
Malaysia,All,Assault,Robbery Solo Armed,2023-01-01,13
Malaysia,All,Assault,Robbery Solo Unarmed,2016-01-01,3463
Malaysia,All,Assault,Robbery Solo Unarmed,2017-01-01,4315
Malaysia,All,Assault,Robbery Solo Unarmed,2018-01-01,3688
Malaysia,All,Assault,Robbery Solo Unarmed,2019-01-01,3641
Malaysia,All,Assault,Robbery Solo Unarmed,2020-01-01,4323
Malaysia,All,Assault,Robbery Solo Unarmed,2021-01-01,2558
Malaysia,All,Assault,Robbery Solo Unarmed,2022-01-01,2134
Malaysia,All,Assault,Robbery Solo Unarmed,2023-01-01,1967
Malaysia,All,Property,all,2016-01-01,90028
Malaysia,All,Property,all,2017-01-01,77804
Malaysia,All,Property,all,2018-01-01,71760
Malaysia,All,Property,all,2019-01-01,66967
Malaysia,All,Property,all,2020-01-01,52344
Malaysia,All,Property,all,2021-01-01,41479
Malaysia,All,Property,all,2022-01-01,40465
Malaysia,All,Property,all,2023-01-01,41991
Malaysia,All,Property,Break In,2016-01-01,18760
Malaysia,All,Property,Break In,2017-01-01,16201
Malaysia,All,Property,Break In,2018-01-01,15742
Malaysia,All,Property,Break In,2019-01-01,16497
Malaysia,All,Property,Break In,2020-01-01,14040
Malaysia,All,Property,Break In,2021-01-01,11352
Malaysia,All,Property,Break In,2022-01-01,10585
Malaysia,All,Property,Break In,2023-01-01,11557
Malaysia,All,Property,Theft Other,2016-01-01,22857
Malaysia,All,Property,Theft Other,2017-01-01,19444
Malaysia,All,Property,Theft Other,2018-01-01,20065
Malaysia,All,Property,Theft Other,2019-01-01,19603
Malaysia,All,Property,Theft Other,2020-01-01,16725
Malaysia,All,Property,Theft Other,2021-01-01,16695
Malaysia,All,Property,Theft Other,2022-01-01,15434
Malaysia,All,Property,Theft Other,2023-01-01,15837
Malaysia,All,Property,Theft Vehicle Lorry,2016-01-01,3050
Malaysia,All,Property,Theft Vehicle Lorry,2017-01-01,2102
Malaysia,All,Property,Theft Vehicle Lorry,2018-01-01,1761
Malaysia,All,Property,Theft Vehicle Lorry,2019-01-01,1549
Malaysia,All,Property,Theft Vehicle Lorry,2020-01-01,921
Malaysia,All,Property,Theft Vehicle Lorry,2021-01-01,639
Malaysia,All,Property,Theft Vehicle Lorry,2022-01-01,718
Malaysia,All,Property,Theft Vehicle Lorry,2023-01-01,764
Malaysia,All,Property,Theft Vehicle Motocar,2016-01-01,10607
Malaysia,All,Property,Theft Vehicle Motocar,2017-01-01,8480
Malaysia,All,Property,Theft Vehicle Motocar,2018-01-01,7413
Malaysia,All,Property,Theft Vehicle Motocar,2019-01-01,6817
Malaysia,All,Property,Theft Vehicle Motocar,2020-01-01,4599
Malaysia,All,Property,Theft Vehicle Motocar,2021-01-01,2849
Malaysia,All,Property,Theft Vehicle Motocar,2022-01-01,3271
Malaysia,All,Property,Theft Vehicle Motocar,2023-01-01,3245
Malaysia,All,Property,Theft Vehicle Motorcycle,2016-01-01,34754
Malaysia,All,Property,Theft Vehicle Motorcycle,2017-01-01,31577
Malaysia,All,Property,Theft Vehicle Motorcycle,2018-01-01,26779
Malaysia,All,Property,Theft Vehicle Motorcycle,2019-01-01,22501
Malaysia,All,Property,Theft Vehicle Motorcycle,2020-01-01,16059
Malaysia,All,Property,Theft Vehicle Motorcycle,2021-01-01,9944
Malaysia,All,Property,Theft Vehicle Motorcycle,2022-01-01,10457
Malaysia,All,Property,Theft Vehicle Motorcycle,2023-01-01,10588
Johor,All,Assault,all,2016-01-01,2820
Johor,All,Assault,all,2017-01-01,2578
Johor,All,Assault,all,2018-01-01,1880
Johor,All,Assault,all,2019-01-01,1923
Johor,All,Assault,all,2020-01-01,1384
Johor,All,Assault,all,2021-01-01,925
Johor,All,Assault,all,2022-01-01,973
Johor,All,Assault,all,2023-01-01,1228
Johor,All,Assault,Causing Injury,2016-01-01,708
Johor,All,Assault,Causing Injury,2017-01-01,614
Johor,All,Assault,Causing Injury,2018-01-01,578
Johor,All,Assault,Causing Injury,2019-01-01,599
Johor,All,Assault,Causing Injury,2020-01-01,447
Johor,All,Assault,Causing Injury,2021-01-01,365
Johor,All,Assault,Causing Injury,2022-01-01,333
Johor,All,Assault,Causing Injury,2023-01-01,366
Johor,All,Assault,Murder,2016-01-01,70
Johor,All,Assault,Murder,2017-01-01,66
Johor,All,Assault,Murder,2018-01-01,43
Johor,All,Assault,Murder,2019-01-01,35
Johor,All,Assault,Murder,2020-01-01,36
Johor,All,Assault,Murder,2021-01-01,21
Johor,All,Assault,Murder,2022-01-01,30
Johor,All,Assault,Murder,2023-01-01,31
Johor,All,Assault,Rape,2016-01-01,274
Johor,All,Assault,Rape,2017-01-01,196
Johor,All,Assault,Rape,2018-01-01,187
